,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score,ParameterName,Parameter
114,Industrial_Estate,101.26582278481013,ROOTSIFT,2.075949367088608,0.0205,0.9795,0.0205,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
115,Industrial_Estate,101.26582278481013,ROOTSIFT,5.569620253164557,0.055,0.945,0.055,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
116,Industrial_Estate,101.26582278481013,ROOTSIFT,2.569620253164557,0.0253749999999999,0.974625,0.025375,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
117,Industrial_Estate,101.26582278481013,ROOTSIFT,1.7468354430379749,0.01725,0.98275,0.01725,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
118,Industrial_Estate,101.26582278481013,ROOTSIFT,2.873417721518988,0.028375,0.971625,0.028375,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
119,Industrial_Estate,101.27848101265825,ROOTSIFT,6.075949367088608,0.0599925009373828,0.9400074990626172,0.0599925009373828,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
120,Industrial_Estate,101.26582278481013,ROOTSIFT,0.1392405063291139,0.001375,0.998625,0.001375,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
121,Industrial_Estate,101.26582278481013,ROOTSIFT,0.189873417721519,0.001875,0.998125,0.0018749999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
122,Industrial_Estate,101.26582278481013,ROOTSIFT,2.316455696202532,0.022875,0.977125,0.0228749999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
123,Industrial_Estate,101.26582278481013,ROOTSIFT,3.632911392405063,0.035875,0.964125,0.035875,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
124,Industrial_Estate,101.26582278481013,ROOTSIFT,0.0886075949367088,0.000875,0.999125,0.0008749999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
125,Industrial_Estate,101.26582278481013,ROOTSIFT,2.088607594936709,0.020625,0.979375,0.020625,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
126,Industrial_Estate,101.26582278481013,ROOTSIFT,0.7215189873417721,0.0071249999999999,0.992875,0.0071249999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
127,Industrial_Estate,101.26582278481013,ROOTSIFT,0.9367088607594936,0.00925,0.99075,0.0092499999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
128,Industrial_Estate,101.29113924050633,ROOTSIFT,2.3417721518987342,0.0231192201949512,0.9768807798050488,0.0231192201949512,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
129,Industrial_Estate,101.26582278481013,ROOTSIFT,0.2658227848101265,0.0026249999999999,0.997375,0.0026249999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
130,Industrial_Estate,101.26582278481013,ROOTSIFT,2.7088607594936707,0.02675,0.97325,0.02675,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
131,Industrial_Estate,101.26582278481013,ROOTSIFT,0.4556962025316455,0.0045,0.9955,0.0044999999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
132,Industrial_Estate,101.26582278481013,ROOTSIFT,0.7215189873417721,0.0071249999999999,0.992875,0.0071249999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
133,Industrial_Estate,101.26582278481013,ROOTSIFT,2.569620253164557,0.0253749999999999,0.974625,0.025375,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
