,Unnamed: 0,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score,ParameterName,Parameter
63,63,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.1772151898734177,87.37400000000001,-86.37400000000001,87.37400000000001,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
64,64,Industrial_Estate,0.002030265354262,ROOTSIFT,0.1392405063291139,68.58241758241758,-67.58241758241758,68.58241758241758,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
65,65,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.2531645569620253,124.82000000000002,-123.82000000000002,124.82000000000002,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
66,66,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.2151898734177215,106.097,-105.097,106.097,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
67,67,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.3164556962025316,156.02500000000003,-155.02500000000003,156.02500000000003,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
68,68,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.6455696202531646,318.291,-317.29100000000005,318.291,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
69,69,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.3544303797468354,174.74800000000002,-173.74800000000002,174.74800000000002,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
70,70,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.0759493670886076,37.446000000000005,-36.446000000000005,37.446000000000005,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
71,71,Industrial_Estate,0.0020282371171448,ROOTSIFT,1.860759493670886,917.427,-916.427,917.427,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
72,72,Industrial_Estate,0.002030265354262,ROOTSIFT,0.6455696202531646,317.97302697302695,-316.97302697302695,317.97302697302695,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
73,73,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.5443037974683544,268.363,-267.36300000000006,268.363,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
74,74,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.4556962025316455,224.676,-223.676,224.676,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
75,75,Industrial_Estate,0.0020282371171448,ROOTSIFT,1.0253164556962024,505.521,-504.521,505.521,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
76,76,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.5569620253164557,274.604,-273.60400000000004,274.604,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
77,77,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.7215189873417721,355.737,-354.737,355.737,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
78,78,Industrial_Estate,0.002030265354262,ROOTSIFT,0.7088607594936709,349.1468531468531,-348.1468531468532,349.1468531468532,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
79,0,Industrial_Estate,63.29113924050633,ROOTSIFT,0.0886075949367088,0.0014,0.9986,0.0014,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
80,1,Industrial_Estate,63.29113924050633,ROOTSIFT,1.9367088607594936,0.0306,0.9694,0.0306,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
81,2,Industrial_Estate,63.29113924050633,ROOTSIFT,3.873417721518988,0.0612,0.9388,0.0612,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
82,3,Industrial_Estate,63.30379746835443,ROOTSIFT,2.721518987341772,0.042991401719656,0.957008598280344,0.042991401719656,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
83,4,Industrial_Estate,63.29113924050633,ROOTSIFT,0.189873417721519,0.003,0.997,0.003,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
84,5,Industrial_Estate,54.03797468354431,ROOTSIFT,2.1265822784810124,0.0393534785664089,0.9606465214335912,0.0393534785664089,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
